model,layer,feature_ind,importance
InceptionV1,mixed5a,809,39
InceptionV1,mixed5a,810,92
InceptionV1,mixed5a,811,60
InceptionV1,mixed5a,812,91
InceptionV1,mixed5a,813,159
InceptionV1,mixed5a,814,49
InceptionV1,mixed5a,815,22
InceptionV1,mixed5a,816,65
InceptionV1,mixed5a,817,-16
InceptionV1,mixed5a,818,18
InceptionV1,mixed5a,819,35
InceptionV1,mixed5a,820,26
InceptionV1,mixed5a,821,30
InceptionV1,mixed5a,822,27
InceptionV1,mixed5a,823,39
InceptionV1,mixed5a,824,33
InceptionV1,mixed5a,825,3
InceptionV1,mixed5a,826,20
InceptionV1,mixed5a,827,11
InceptionV1,mixed5a,828,3
InceptionV1,mixed5a,829,3
InceptionV1,mixed5a,830,11
InceptionV1,mixed5a,831,16
