model,layer,feature_ind,importance
InceptionV1,mixed5a,186,8
InceptionV1,mixed5a,187,26
InceptionV1,mixed5a,188,14
InceptionV1,mixed5a,189,26
InceptionV1,mixed5a,190,-17
InceptionV1,mixed5a,191,1
InceptionV1,mixed5a,192,2
InceptionV1,mixed5a,193,8
InceptionV1,mixed5a,194,-13
InceptionV1,mixed5a,195,-8
InceptionV1,mixed5a,196,23
InceptionV1,mixed5a,197,-21
InceptionV1,mixed5a,198,15
InceptionV1,mixed5a,199,-5
InceptionV1,mixed5a,200,14
InceptionV1,mixed5a,201,-10
InceptionV1,mixed5a,202,12
InceptionV1,mixed5a,203,48
InceptionV1,mixed5a,204,6
InceptionV1,mixed5a,205,16
InceptionV1,mixed5a,206,16
InceptionV1,mixed5a,207,-7
InceptionV1,mixed5a,208,11
InceptionV1,mixed5a,209,8
InceptionV1,mixed5a,210,19
InceptionV1,mixed5a,211,44
InceptionV1,mixed5a,212,21
InceptionV1,mixed5a,213,41
InceptionV1,mixed5a,214,21
InceptionV1,mixed5a,215,49
InceptionV1,mixed5a,216,-74
InceptionV1,mixed5a,217,13
InceptionV1,mixed5a,218,6
InceptionV1,mixed5a,219,10
InceptionV1,mixed5a,220,20
InceptionV1,mixed5a,221,-4
InceptionV1,mixed5a,222,8
InceptionV1,mixed5a,223,19
InceptionV1,mixed5a,224,6
InceptionV1,mixed5a,225,22
InceptionV1,mixed5a,226,4
InceptionV1,mixed5a,227,24
InceptionV1,mixed5a,228,19
InceptionV1,mixed5a,229,48
InceptionV1,mixed5a,230,14
InceptionV1,mixed5a,231,13
InceptionV1,mixed5a,232,29
InceptionV1,mixed5a,233,-2
InceptionV1,mixed5a,234,45
InceptionV1,mixed5a,235,6
InceptionV1,mixed5a,236,25
InceptionV1,mixed5a,237,27
InceptionV1,mixed5a,238,19
InceptionV1,mixed5a,239,34
InceptionV1,mixed5a,240,27
InceptionV1,mixed5a,241,4
InceptionV1,mixed5a,242,36
InceptionV1,mixed5a,243,10
InceptionV1,mixed5a,244,-15
InceptionV1,mixed5a,245,-2
InceptionV1,mixed5a,246,1
InceptionV1,mixed5a,247,37
InceptionV1,mixed5a,248,22
InceptionV1,mixed5a,249,22
InceptionV1,mixed5a,250,26
InceptionV1,mixed5a,251,7
InceptionV1,mixed5a,252,23
InceptionV1,mixed5a,253,-7
InceptionV1,mixed5a,254,23
InceptionV1,mixed5a,255,2
InceptionV1,mixed5a,256,30
InceptionV1,mixed5a,257,4
InceptionV1,mixed5a,258,-2
InceptionV1,mixed5a,259,9
InceptionV1,mixed5a,260,11
InceptionV1,mixed5a,261,28
InceptionV1,mixed5a,262,11
InceptionV1,mixed5a,263,-5
InceptionV1,mixed5a,264,22
InceptionV1,mixed5a,265,5
InceptionV1,mixed5a,266,32
InceptionV1,mixed5a,267,9
InceptionV1,mixed5a,268,-7
InceptionV1,mixed5a,269,-4
InceptionV1,mixed5a,270,9
InceptionV1,mixed5a,271,-2
InceptionV1,mixed5a,272,-4
InceptionV1,mixed5a,273,-2
InceptionV1,mixed5a,274,11
InceptionV1,mixed5a,275,-2
InceptionV1,mixed5a,276,5
InceptionV1,mixed5a,277,-11
InceptionV1,mixed5a,278,-2
InceptionV1,mixed5a,279,17
InceptionV1,mixed5a,280,-9
InceptionV1,mixed5a,281,-1
InceptionV1,mixed5a,282,-14
InceptionV1,mixed5a,283,12
InceptionV1,mixed5a,284,21
InceptionV1,mixed5a,285,-7
InceptionV1,mixed5a,286,2
InceptionV1,mixed5a,287,23
InceptionV1,mixed5a,288,15
InceptionV1,mixed5a,289,24
InceptionV1,mixed5a,290,-20
InceptionV1,mixed5a,291,14
InceptionV1,mixed5a,292,13
InceptionV1,mixed5a,293,9
InceptionV1,mixed5a,294,9
InceptionV1,mixed5a,295,22
InceptionV1,mixed5a,296,7
InceptionV1,mixed5a,297,9
InceptionV1,mixed5a,298,11
InceptionV1,mixed5a,299,7
